date,operation,item_name,quantity
2024-11-26 20:22:28,Zwiększono liczbę produktów w bazie,test1,3
2024-11-26 20:23:50,Zwiększono liczbę produktów w bazie,test1,1
2024-11-26 20:25:11,Sprzedano produkt,test1,2
2024-11-26 21:13:14,Dodano nowy produkt,test6,6
2024-11-26 21:14:30,Dodano nowy produkt,test7,7
2024-11-26 21:40:08,Dodano nowy produkt,test8,8
2024-11-26 21:40:29,Sprzedano produkt,test4,6
2024-11-26 21:45:34,Sprzedano produkt,test8,4
2024-11-26 21:49:00,Sprzedano produkt,test8,4
2024-11-27 22:17:37,Dodano nowy produkt,test9,9
2024-11-27 22:18:30,Sprzedano produkt,test9,4
2024-11-27 22:58:52,Dodano nowy produkt,test10,6
2024-11-27 23:08:35,Dodano nowy produkt,test11,5
2024-11-27 23:11:39,Dodano nowy produkt,test12,7
2024-11-27 23:15:03,Dodano nowy produkt,test13,5
2024-11-27 23:17:45,Dodano nowy produkt,test14,5
2024-11-27 23:18:13,Dodano nowy produkt,test15,1
2024-11-27 23:18:26,Dodano nowy produkt,test16,1
2024-11-27 23:23:32,Zwiększono liczbę produktów w bazie,test9,1
2024-11-27 23:26:47,Zwiększono liczbę produktów w bazie,test9,1
2024-11-27 23:30:50,Sprzedano produkt,test1,2
2024-11-27 23:31:31,Sprzedano produkt,test5,2
2024-11-28 00:06:14,Sprzedano produkt,test1,1
2024-11-28 00:08:29,Dodano nowy produkt,test1,1
2024-11-28 00:09:53,Sprzedano produkt,test1,1
2024-11-29 09:02:07,Dodano nowy produkt,test2,4
2024-11-29 09:03:22,Dodano nowy produkt,test3,4
2024-11-29 09:14:07,Zwiększono liczbę produktów w bazie,test3,4
2024-11-29 12:07:13,Dodano nowy produkt,test4,5
2024-11-29 12:53:13,Dodano nowy produkt,test5,4
2024-11-29 12:53:47,Sprzedano produkt,test2,2
2024-11-29 13:18:15,Dodano nowy produkt,test6,8
2024-11-29 13:18:33,Dodano nowy produkt,test7,2
2024-11-29 13:18:57,Zwiększono liczbę produktów w bazie,test1,2
2024-11-29 13:19:15,Zwiększono liczbę produktów w bazie,test3,2
2024-11-29 13:19:47,Sprzedano produkt,test3,2
2024-11-29 13:19:51,Sprzedano produkt,test3,2
2024-11-29 13:49:36,Zwiększono liczbę produktów w bazie,test2,2
2024-12-02 21:13:29,Dodano nowy produkt,test23,1
2024-12-02 21:20:10,Dodano nowy produkt,test25,1
2024-12-02 21:21:51,Dodano nowy produkt,test26,1
2024-12-02 21:33:07,Dodano nowy produkt,test27,1
2024-12-02 21:33:33,Sprzedano produkt,test5,2
2024-12-02 21:37:38,Dodano nowy produkt,test27,2
2024-12-02 21:39:41,Dodano nowy produkt,test28,1
2024-12-02 21:45:50,Dodano nowy produkt,test29,1
2024-12-02 21:46:04,Sprzedano produkt,test27,1
2024-12-02 21:46:04,Sprzedano produkt,test27,1
2024-12-03 08:20:33,Dodano nowy produkt,test30,1
2024-12-03 08:20:54,Dodano nowy produkt,test31,2
2024-12-03 08:22:38,Sprzedano produkt,test31,1
2024-12-03 08:25:26,Dodano nowy produkt,test32,4
2024-12-03 08:25:39,Dodano nowy produkt,test33,1
2024-12-03 08:25:46,Sprzedano produkt,test33,1
